//X Y Z R G B
-22.41147232 9.63623905 -2.46571803 170 0 0
-22.39392853 9.65359402 -2.46721196 170 0 0
-22.19568825 9.81495762 -2.48875093 170 0 0
-22.25054741 9.67806816 -2.50577903 170 0 0
-22.45070839 9.76560593 -2.45620394 170 0 0
-22.32637024 9.82268810 -2.47409105 170 0 0
-22.38528824 9.63753128 -2.47462511 170 0 0
-22.38763046 9.60152245 -2.48877096 170 0 0
-22.38159561 9.74740314 -2.46387196 170 0 0
-22.32131958 9.69634342 -2.47937298 170 0 0
-22.24089622 9.73113346 -2.49586296 170 0 0
-22.23620987 9.73343658 -2.49596095 170 0 0
-22.19934273 9.74208736 -2.50249696 170 0 0
-22.44028282 9.61758804 -2.46832395 170 0 0
-22.24444389 9.83617783 -2.48157191 170 0 0
-22.30922127 9.60449982 -2.50834608 170 0 0
-22.31950378 9.75794697 -2.47337103 170 0 0
-22.24660301 9.63881493 -2.51401711 170 0 0
-22.33379364 9.87581635 -2.47213602 170 0 0
-22.41160011 9.61191940 -2.47403097 170 0 0
-22.33403397 9.62750816 -2.49913692 170 0 0
-22.37159157 9.56939507 -2.50737810 170 0 0
-22.14729500 9.71103477 -2.50774908 170 0 0
-22.34086227 9.89138699 -2.47192407 170 0 0
-22.39768410 9.70427132 -2.46222806 170 0 0
-22.44196320 9.74647045 -2.45633602 170 0 0
-22.31556892 9.70656395 -2.48128009 170 0 0
-22.32361794 9.73477173 -2.47590208 170 0 0
-22.41603279 9.71227074 -2.45735192 170 0 0
-22.29954720 9.60026836 -2.51607299 170 0 0
-22.36006165 9.82501984 -2.47094107 170 0 0
-22.18157578 9.78357792 -2.49419093 170 0 0
-22.20953369 9.75860596 -2.49454999 170 0 0
-22.26845360 9.84752655 -2.47899508 170 0 0
-22.35228920 9.89567471 -2.47197390 170 0 0
-22.37072754 9.63119602 -2.48339510 170 0 0
-22.28958130 9.68268108 -2.49562001 170 0 0
-22.36552048 9.83997726 -2.46967602 170 0 0
-22.32867050 9.71229553 -2.47738194 170 0 0
-22.34243774 9.63116264 -2.49480009 170 0 0
-22.39368439 9.64252090 -2.47001410 170 0 0
-22.39263344 9.73691654 -2.46294188 170 0 0
-22.36222839 9.75120163 -2.46795297 170 0 0
-22.41764069 9.87571812 -2.46401501 170 0 0
